Time,xin,reset,TL,BL,dT,ic,yout
3.7,0.342632414528962,0,10,-10,0.1,0,1.26773993385716
3.8,0.342632414528962,0,10,-10,0.1,0,1.30200317531006
3.9,0.342632414528962,0,10,-10,0.1,0,1.33626641676295
4,0.342632414528962,0,10,-10,0.0999999999999996,0,1.37052965821585
4.1,0.342632414528962,0,10,-10,0.100000000000001,0,1.40479289966875
4.2,0.342632414528962,0,10,-10,0.0999999999999996,0,1.43905614112164
4.3,0.342632414528962,0,10,-10,0.0999999999999996,0,1.47331938257454
4.4,0.342632414528962,0,10,-10,0.100000000000001,0,1.50758262402743
4.5,0.342632414528962,0,10,-10,0.0999999999999996,0,1.54184586548033
4.6,0.342632414528962,0,10,-10,0.100000000000001,0,1.57610910693323
4.7,0.342632414528962,0,10,-10,0.0999999999999996,0,1.61037234838612
4.8,0.342632414528962,0,10,-10,0.100000000000001,0,1.64463558983902
4.9,0.342632414528962,0,10,-10,0.0999999999999996,0,1.67889883129192
5,0.342632414528962,0,10,-10,0.0999999999999996,0,1.71316207274481
5.1,0.342632414528962,0,10,-10,0.100000000000001,0,1.74742531419771
5.2,0.342632414528962,0,10,-10,0.0999999999999996,0,1.7816885556506
5.3,0.342632414528962,0,10,-10,0.100000000000001,0,1.8159517971035
5.4,0.342632414528962,0,10,-10,0.0999999999999996,0,1.8502150385564
5.5,0.342632414528962,0,10,-10,0.0999999999999996,0,1.88447828000929
5.6,0.342632414528962,0,10,-10,0.100000000000001,0,1.91874152146219
5.7,0.342632414528962,0,10,-10,0.0999999999999996,0,1.95300476291509
5.8,0.342632414528962,0,10,-10,0.100000000000001,0,1.98726800436798
5.9,0.342632414528962,0,10,-10,0.0999999999999996,0,2.02153124582088
6,0.342632414528962,0,10,-10,0.0999999999999996,0,2.05579448727377
6.1,0.342632414528962,0,10,-10,0.100000000000001,0,2.09005772872667
6.2,0.342632414528962,0,10,-10,0.0999999999999996,0,2.12432097017957
6.3,0.342632414528962,0,10,-10,0.100000000000001,0,2.15858421163246
6.4,0.342632414528962,0,10,-10,0.0999999999999996,0,2.19284745308536
6.5,0.342632414528962,0,10,-10,0.0999999999999996,0,2.22711069453826
6.6,0.342632414528962,0,10,-10,0.100000000000001,0,2.26137393599115
6.7,0.342632414528962,0,10,-10,0.0999999999999996,0,2.29563717744405
6.8,0.342632414528962,0,10,-10,0.100000000000001,0,2.32990041889694
6.9,0.342632414528962,0,10,-10,0.0999999999999996,0,2.36416366034984
7,0.342632414528962,0,10,-10,0.0999999999999996,0,2.39842690180274
7.1,0.342632414528962,0,10,-10,0.100000000000001,0,2.43269014325563
7.2,0.342632414528962,0,10,-10,0.0999999999999996,0,2.46695338470853
7.3,0.342632414528962,0,10,-10,0.100000000000001,0,2.50121662616143
7.4,0.342632414528962,0,10,-10,0.0999999999999996,0,2.53547986761432
7.5,0.342632414528962,0,10,-10,0.0999999999999996,0,2.56974310906722
7.6,0.342632414528962,0,10,-10,0.100000000000001,0,2.60400635052011
7.7,0.342632414528962,0,10,-10,0.0999999999999996,0,2.63826959197301
7.8,0.342632414528962,0,10,-10,0.100000000000001,0,2.67253283342591
7.9,0.342632414528962,0,10,-10,0.0999999999999996,0,2.7067960748788
8,0.342632414528962,0,10,-10,0.0999999999999996,0,2.7410593163317
8.1,0.342632414528962,0,10,-10,0.0999999999999996,0,2.77532255778459
8.2,0.342632414528962,0,10,-10,0.100000000000001,0,2.80958579923749
8.3,0.342632414528962,0,10,-10,0.0999999999999996,0,2.84384904069039
8.4,0.342632414528962,0,10,-10,0.0999999999999996,0,2.87811228214328
8.5,0.342632414528962,0,10,-10,0.0999999999999996,0,2.91237552359618
8.6,0.342632414528962,0,10,-10,0.0999999999999996,0,2.94663876504908
8.7,0.342632414528962,0,10,-10,0.100000000000001,0,2.98090200650197
8.8,0.342632414528962,0,10,-10,0.0999999999999996,0,3.01516524795487
8.9,0.342632414528962,0,10,-10,0.0999999999999996,0,3.04942848940776
9,0.342632414528962,0,10,-10,0.0999999999999996,0,3.08369173086066
9.1,0.342632414528962,0,10,-10,0.0999999999999996,0,3.11795497231356
9.2,0.342632414528962,0,10,-10,0.100000000000001,0,3.15221821376645
9.3,0.342632414528962,0,10,-10,0.0999999999999996,0,3.18648145521935
9.4,0.342632414528962,0,10,-10,0.0999999999999996,0,3.22074469667225
9.5,0.342632414528962,0,10,-10,0.0999999999999996,0,3.25500793812514
9.6,0.342632414528962,0,10,-10,0.100000000000001,0,3.28927117957804
9.7,0.342632414528962,0,10,-10,0.0999999999999996,0,3.32353442103093
9.8,0.342632414528962,0,10,-10,0.0999999999999996,0,3.35779766248383
9.9,0.342632414528962,0,10,-10,0.0999999999999996,0,3.39206090393673
10,0.507383062493738,0,10,-10,0.0999999999999996,0,3.43456167778786
10.1,0.507383062493738,0,10,-10,0.100000000000001,0,3.48529998403724
10.2,0.507383062493738,0,10,-10,0.0999999999999996,0,3.53603829028661
10.3,0.507383062493738,0,10,-10,0.0999999999999996,0,3.58677659653598
10.4,0.507383062493738,0,10,-10,0.0999999999999996,0,3.63751490278536
10.5,0.507383062493738,0,10,-10,0.0999999999999996,0,3.68825320903473
10.6,0.507383062493738,0,10,-10,0.100000000000001,0,3.7389915152841
10.7,0.507383062493738,0,10,-10,0.0999999999999996,0,3.78972982153348
10.8,0.507383062493738,0,10,-10,0.0999999999999996,0,3.84046812778285
10.9,0.507383062493738,0,10,-10,0.0999999999999996,0,3.89120643403222
11,0.507383062493738,0,10,-10,0.0999999999999996,0,3.9419447402816
11.1,0.507383062493738,0,10,-10,0.100000000000001,0,3.99268304653097
11.2,0.507383062493738,0,10,-10,0.0999999999999996,0,4.04342135278034
11.3,0.507383062493738,0,10,-10,0.0999999999999996,0,4.09415965902972
11.4,0.507383062493738,0,10,-10,0.0999999999999996,0,4.14489796527909
11.5,0.507383062493738,0,10,-10,0.0999999999999996,0,4.19563627152846
11.6,0.507383062493738,0,10,-10,0.100000000000001,0,4.24637457777784
11.7,0.507383062493738,0,10,-10,0.0999999999999996,0,4.29711288402721
11.8,0.507383062493738,0,10,-10,0.0999999999999996,0,4.34785119027659
11.9,0.507383062493738,0,10,-10,0.0999999999999996,0,4.39858949652596
12,0.507383062493738,0,10,-10,0.0999999999999996,0,4.44932780277533
12.1,0.507383062493738,0,10,-10,0.100000000000001,0,4.50006610902471
12.2,0.507383062493738,0,10,-10,0.0999999999999996,0,4.55080441527408
12.3,0.507383062493738,0,10,-10,0.0999999999999996,0,4.60154272152345
12.4,0.507383062493738,0,10,-10,0.0999999999999996,0,4.65228102777283
12.5,0.507383062493738,0,10,-10,0.0999999999999996,0,4.7030193340222
12.6,0.507383062493738,0,10,-10,0.100000000000001,0,4.75375764027157
12.7,0.507383062493738,0,10,-10,0.0999999999999996,0,4.80449594652095
12.8,0.507383062493738,0,10,-10,0.0999999999999996,0,4.85523425277032
12.9,0.507383062493738,0,10,-10,0.0999999999999996,0,4.90597255901969
13,0.507383062493738,0,10,-10,0.0999999999999996,0,4.95671086526907
13.1,0.507383062493738,0,10,-10,0.100000000000001,0,5.00744917151844
13.2,0.507383062493738,0,10,-10,0.0999999999999996,0,5.05818747776782
13.3,0.507383062493738,0,10,-10,0.0999999999999996,0,5.10892578401719
13.4,0.507383062493738,0,10,-10,0.0999999999999996,0,5.15966409026656
13.5,0.507383062493738,0,10,-10,0.0999999999999996,0,5.21040239651594
13.6,0.507383062493738,0,10,-10,0.100000000000001,0,5.26114070276531
13.7,0.507383062493738,0,10,-10,0.0999999999999996,0,5.31187900901468
13.8,0.507383062493738,0,10,-10,0.0999999999999996,0,5.36261731526406
13.9,0.507383062493738,0,10,-10,0.0999999999999996,0,5.41335562151343
14,0.507383062493738,0,10,-10,0.0999999999999996,0,5.4640939277628
14.1,0.507383062493738,0,10,-10,0.100000000000001,0,5.51483223401218
14.2,0.507383062493738,0,10,-10,0.0999999999999996,0,5.56557054026155
14.3,0.507383062493738,0,10,-10,0.0999999999999996,0,5.61630884651092
14.4,0.507383062493738,0,10,-10,0.0999999999999996,0,5.6670471527603
14.5,0.507383062493738,0,10,-10,0.0999999999999996,0,5.71778545900967
14.6,0.507383062493738,0,10,-10,0.100000000000001,0,5.76852376525905
14.7,0.507383062493738,0,10,-10,0.0999999999999996,0,5.81926207150842
14.8,0.507383062493738,0,10,-10,0.0999999999999996,0,5.87000037775779
14.9,0.507383062493738,0,10,-10,0.0999999999999996,0,5.92073868400717
15,0.507383062493738,0,10,-10,0.0999999999999996,0,5.97147699025654
15.1,0.507383062493738,0,10,-10,0.100000000000001,0,6.02221529650591
15.2,0.507383062493738,0,10,-10,0.0999999999999996,0,6.07295360275529
15.3,0.507383062493738,0,10,-10,0.0999999999999996,0,6.12369190900466
15.4,0.507383062493738,0,10,-10,0.0999999999999996,0,6.17443021525403
15.5,0.507383062493738,0,10,-10,0.0999999999999996,0,6.22516852150341
15.6,0.507383062493738,0,10,-10,0.100000000000001,0,6.27590682775278
15.7,0.507383062493738,0,10,-10,0.0999999999999996,0,6.32664513400215
15.8,0.507383062493738,0,10,-10,0.0999999999999996,0,6.37738344025153
15.9,0.507383062493738,0,10,-10,0.0999999999999996,0,6.4281217465009
16,0.507383062493738,0,10,-10,0.0999999999999996,0,6.47886005275027
16.1,0.507383062493738,0,10,-10,0.100000000000001,0,6.52959835899965
16.2,0.507383062493738,0,10,-10,0.0999999999999979,0,6.58033666524902
16.3,0.507383062493738,0,10,-10,0.100000000000001,0,6.6310749714984
16.4,0.507383062493738,0,10,-10,0.100000000000001,0,6.68181327774777
16.5,0.507383062493738,0,10,-10,0.0999999999999979,0,6.73255158399714
16.6,0.507383062493738,0,10,-10,0.100000000000001,0,6.78328989024652
16.7,0.507383062493738,0,10,-10,0.0999999999999979,0,6.83402819649589
16.8,0.507383062493738,0,10,-10,0.100000000000001,0,6.88476650274526
16.9,0.507383062493738,0,10,-10,0.100000000000001,0,6.93550480899464
17,0.507383062493738,0,10,-10,0.0999999999999979,0,6.98624311524401
17.1,0.507383062493738,0,10,-10,0.100000000000001,0,7.03698142149338
17.2,0.507383062493738,0,10,-10,0.0999999999999979,0,7.08771972774276
17.3,0.507383062493738,0,10,-10,0.100000000000001,0,7.13845803399213
17.4,0.507383062493738,0,10,-10,0.100000000000001,0,7.18919634024151
17.5,0.507383062493738,0,10,-10,0.0999999999999979,0,7.23993464649088
17.6,0.507383062493738,0,10,-10,0.100000000000001,0,7.29067295274025
17.7,0.507383062493738,0,10,-10,0.0999999999999979,0,7.34141125898962
17.8,0.507383062493738,0,10,-10,0.100000000000001,0,7.392149565239
17.9,0.507383062493738,0,10,-10,0.100000000000001,0,7.44288787148837
18,0.507383062493738,0,10,-10,0.0999999999999979,0,7.49362617773775
18.1,0.507383062493738,0,10,-10,0.100000000000001,0,7.54436448398712
18.2,0.507383062493738,0,10,-10,0.0999999999999979,0,7.59510279023649
18.3,0.507383062493738,0,10,-10,0.100000000000001,0,7.64584109648587
18.4,0.507383062493738,0,10,-10,0.100000000000001,0,7.69657940273524
18.5,0.507383062493738,0,10,-10,0.0999999999999979,0,7.74731770898461
18.6,0.507383062493738,0,10,-10,0.100000000000001,0,7.79805601523399
18.7,0.507383062493738,0,10,-10,0.0999999999999979,0,7.84879432148336
18.8,0.507383062493738,0,10,-10,0.100000000000001,0,7.89953262773273
18.9,0.507383062493738,0,10,-10,0.100000000000001,0,7.95027093398211
19,0.507383062493738,0,10,-10,0.0999999999999979,0,8.00100924023148
19.1,0.507383062493738,0,10,-10,0.100000000000001,0,8.05174754648086
19.2,0.507383062493738,0,10,-10,0.100000000000001,0,8.10248585273023
19.3,0.507383062493738,0,10,-10,0.0999999999999979,0,8.1532241589796
19.4,0.507383062493738,0,10,-10,0.100000000000001,0,8.20396246522898
19.5,0.507383062493738,0,10,-10,0.0999999999999979,0,8.25470077147835
19.6,0.507383062493738,0,10,-10,0.100000000000001,0,8.30543907772773
19.7,0.507383062493738,0,10,-10,0.100000000000001,0,8.3561773839771
19.8,0.507383062493738,0,10,-10,0.0999999999999979,0,8.40691569022648
19.9,0.507383062493738,0,10,-10,0.100000000000001,0,8.45765399647585
20,0.507383062493738,0,10,-10,0.0999999999999979,0,8.50839230272523
